Category,SourceSize,ImportedSize,MaxSize,HasAlpha,ImporterChanged,PackedBytes,Path
backdrop,1704x923,1024x555,1024,false,true,1705568,Assets/Resources/RelaunchArt/chapter_5_space_bg.png
item-icon,1375x1144,512x426,512,true,true,874124,Assets/Resources/SpriteGen/items/rift_reward_chest.png
legacy-ui,1541x292,1024x194,1024,true,true,796704,Assets/04_Images/UI/LineTextFrame_06_Demo.png
actor-atlas,1536x1536,1536x1536,2048,true,true,419220,Assets/Resources/SpriteGen/resonance_sovereign_phase2/sprite-sheet-alpha.png
actor-atlas,1536x1152,1536x1152,2048,true,true,304048,Assets/Resources/SpriteGen/resonance_sovereign/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,251084,Assets/Resources/SpriteGen/phase_harvester_phase2/sprite-sheet-alpha.png
full-screen-ui,1254x1254,1024x1024,1024,true,true,217336,Assets/Resources/UI/weapon_armory_schematic.png
actor-atlas,1024x1024,1024x1024,2048,true,true,214356,Assets/Resources/SpriteGen/core_devourer_phase2/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,211524,Assets/Resources/SpriteGen/rift_warden_phase2/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,197416,Assets/Resources/SpriteGen/seal_breaker/sprite-sheet-alpha.png
full-screen-ui,1254x1254,1024x1024,1024,true,true,194204,Assets/Resources/UI/pause_command_deck.png
actor-atlas,1024x1024,1024x1024,2048,true,true,191800,Assets/Resources/SpriteGen/companion_prism_moth/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,190696,Assets/Resources/SpriteGen/enemy_rift_leech/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,184468,Assets/Resources/SpriteGen/seal_breaker_regen/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,181196,Assets/Resources/SpriteGen/enemy_null_mine/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,177300,Assets/Resources/SpriteGen/enemy_phase_wraith/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,175092,Assets/Resources/SpriteGen/companion_bastion_orb/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,174972,Assets/Resources/SpriteGen/void_lancer_phase2/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,167720,Assets/Resources/SpriteGen/phase_harvester/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,166368,Assets/Resources/SpriteGen/enemy_splitter/sprite-sheet-alpha.png
rift-choice,1254x1254,1024x1024,1024,true,true,162500,Assets/Resources/SpriteGen/rift_choice/stabilize.png
actor-atlas,1024x768,1024x768,2048,true,true,161380,Assets/Resources/SpriteGen/companion_pulse_guard/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,156232,Assets/Resources/SpriteGen/core_devourer/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,147636,Assets/Resources/SpriteGen/enemy_parasite/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,146336,Assets/Resources/SpriteGen/companion_echo_kite/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,141612,Assets/Resources/SpriteGen/rift_warden/sprite-sheet-alpha.png
